rank_i,host_i,cpu_i,affinity_i,rank_j,host_j,cpu_j,affinity_j,small_bytes,large_bytes,warmup,iters,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gbps,bandwidth_mean_gbps
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",1,"n23m0123.hpc.itc.rwth-aachen.de",1,"1",64,4194304,10,50,0.174,0.23792,0.19375,0.56,11.4066,11.3679
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",2,"n23m0123.hpc.itc.rwth-aachen.de",2,"2",64,4194304,10,50,0.176,0.2425,0.193,0.5735,11.0043,10.9153
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",3,"n23m0123.hpc.itc.rwth-aachen.de",3,"3",64,4194304,10,50,0.178,0.23928,0.20175,0.513,11.2971,11.1969
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",4,"n23m0123.hpc.itc.rwth-aachen.de",4,"4",64,4194304,10,50,0.1785,0.25981,0.23425,0.6445,11.318,11.2654
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",5,"n23m0123.hpc.itc.rwth-aachen.de",5,"5",64,4194304,10,50,0.187,0.25562,0.20225,0.5565,10.7543,10.6837
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",6,"n23m0123.hpc.itc.rwth-aachen.de",6,"6",64,4194304,10,50,0.1795,0.25062,0.243,0.446,10.8039,10.887
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",7,"n23m0123.hpc.itc.rwth-aachen.de",7,"7",64,4194304,10,50,0.183,0.24589,0.19925,0.609,11.3679,11.3554
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",8,"n23m0123.hpc.itc.rwth-aachen.de",8,"8",64,4194304,10,50,0.1815,0.25995,0.24375,0.6475,11.0919,10.9812
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",9,"n23m0123.hpc.itc.rwth-aachen.de",9,"9",64,4194304,10,50,0.187,0.30319,0.209,2.8725,11.4938,11.4154
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",10,"n23m0123.hpc.itc.rwth-aachen.de",10,"10",64,4194304,10,50,0.183,0.26018,0.2035,0.6305,11.4704,11.3701
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",11,"n23m0123.hpc.itc.rwth-aachen.de",11,"11",64,4194304,10,50,0.186,0.27032,0.256,0.5785,11.1789,11.0468
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",12,"n23m0123.hpc.itc.rwth-aachen.de",12,"12",64,4194304,10,50,0.2045,0.28486,0.25,0.629,10.8339,10.76
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",13,"n23m0123.hpc.itc.rwth-aachen.de",13,"13",64,4194304,10,50,0.199,0.26589,0.258,0.5585,10.9518,10.8522
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",14,"n23m0123.hpc.itc.rwth-aachen.de",14,"14",64,4194304,10,50,0.1995,0.26453,0.22325,0.4565,10.7419,10.7265
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",15,"n23m0123.hpc.itc.rwth-aachen.de",15,"15",64,4194304,10,50,0.2145,0.28454,0.2865,0.5675,11.3399,11.2704
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",16,"n23m0123.hpc.itc.rwth-aachen.de",16,"16",64,4194304,10,50,0.206,0.26641,0.22775,0.494,11.2147,11.1526
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",17,"n23m0123.hpc.itc.rwth-aachen.de",17,"17",64,4194304,10,50,0.202,0.28801,0.2885,0.488,10.8968,10.8101
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",18,"n23m0123.hpc.itc.rwth-aachen.de",18,"18",64,4194304,10,50,0.1955,0.24525,0.215,0.4495,11.24,11.1621
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",19,"n23m0123.hpc.itc.rwth-aachen.de",19,"19",64,4194304,10,50,0.1995,0.27484,0.21525,0.6355,11.1695,11.1269
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",20,"n23m0123.hpc.itc.rwth-aachen.de",20,"20",64,4194304,10,50,0.209,0.26952,0.2345,0.4795,10.8582,10.7664
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",21,"n23m0123.hpc.itc.rwth-aachen.de",21,"21",64,4194304,10,50,0.21,0.26305,0.22475,0.557,10.8555,10.6311
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",22,"n23m0123.hpc.itc.rwth-aachen.de",22,"22",64,4194304,10,50,0.197,0.24602,0.20925,0.462,11.1183,11.0681
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",23,"n23m0123.hpc.itc.rwth-aachen.de",23,"23",64,4194304,10,50,0.1965,0.24162,0.20675,0.4465,11.3903,11.3335
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",24,"n23m0123.hpc.itc.rwth-aachen.de",24,"24",64,4194304,10,50,0.213,0.25348,0.2275,0.4875,10.7683,10.7294
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",25,"n23m0123.hpc.itc.rwth-aachen.de",25,"25",64,4194304,10,50,0.2165,0.28403,0.2405,0.551,10.7094,10.7013
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",26,"n23m0123.hpc.itc.rwth-aachen.de",26,"26",64,4194304,10,50,0.2145,0.26202,0.22875,0.53,10.5749,10.5311
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",27,"n23m0123.hpc.itc.rwth-aachen.de",27,"27",64,4194304,10,50,0.215,0.25395,0.2315,0.486,10.5597,10.5135
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",28,"n23m0123.hpc.itc.rwth-aachen.de",28,"28",64,4194304,10,50,0.204,0.25365,0.21725,0.5,10.9494,10.8741
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",29,"n23m0123.hpc.itc.rwth-aachen.de",29,"29",64,4194304,10,50,0.217,0.25569,0.2305,0.5235,10.6968,10.6038
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",30,"n23m0123.hpc.itc.rwth-aachen.de",30,"30",64,4194304,10,50,0.2,0.24587,0.21475,0.473,10.9335,10.8477
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",31,"n23m0123.hpc.itc.rwth-aachen.de",31,"31",64,4194304,10,50,0.21,0.25566,0.22025,0.4755,10.647,10.5881
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",32,"n23m0123.hpc.itc.rwth-aachen.de",32,"32",64,4194304,10,50,0.206,0.24797,0.21875,0.487,11.5106,11.4508
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",33,"n23m0123.hpc.itc.rwth-aachen.de",33,"33",64,4194304,10,50,0.2175,0.26757,0.22875,0.481,10.6693,10.6952
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",34,"n23m0123.hpc.itc.rwth-aachen.de",34,"34",64,4194304,10,50,0.2225,0.29965,0.26675,0.488,10.6223,10.5915
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",35,"n23m0123.hpc.itc.rwth-aachen.de",35,"35",64,4194304,10,50,0.209,0.26315,0.223,0.534,10.6535,10.5707
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",36,"n23m0123.hpc.itc.rwth-aachen.de",36,"36",64,4194304,10,50,0.2335,0.28605,0.247,0.62,10.0821,10.1892
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",37,"n23m0123.hpc.itc.rwth-aachen.de",37,"37",64,4194304,10,50,0.22,0.27754,0.23825,0.586,10.1551,10.1427
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",38,"n23m0123.hpc.itc.rwth-aachen.de",38,"38",64,4194304,10,50,0.231,0.2665,0.2385,0.488,9.8384,9.93769
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",39,"n23m0123.hpc.itc.rwth-aachen.de",39,"39",64,4194304,10,50,0.2285,0.2757,0.23875,0.598,10.2552,10.1752
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",40,"n23m0123.hpc.itc.rwth-aachen.de",40,"40",64,4194304,10,50,0.24,0.30982,0.2555,0.539,9.91839,9.96116
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",41,"n23m0123.hpc.itc.rwth-aachen.de",41,"41",64,4194304,10,50,0.2345,0.28759,0.24425,0.6045,10.028,10.1231
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",42,"n23m0123.hpc.itc.rwth-aachen.de",42,"42",64,4194304,10,50,0.2295,0.28829,0.2465,0.494,10.0627,10.1267
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",43,"n23m0123.hpc.itc.rwth-aachen.de",43,"43",64,4194304,10,50,0.2355,0.29894,0.2535,0.572,9.87927,9.91775
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",44,"n23m0123.hpc.itc.rwth-aachen.de",44,"44",64,4194304,10,50,0.237,0.29543,0.24725,0.583,9.83093,9.77659
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",45,"n23m0123.hpc.itc.rwth-aachen.de",45,"45",64,4194304,10,50,0.2665,0.32641,0.28275,0.639,8.97022,8.96613
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",46,"n23m0123.hpc.itc.rwth-aachen.de",46,"46",64,4194304,10,50,0.263,0.34129,0.2925,0.6845,8.85166,8.83666
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",47,"n23m0123.hpc.itc.rwth-aachen.de",47,"47",64,4194304,10,50,0.277,0.32078,0.29,0.6045,8.92647,8.84749
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",48,"n23m0123.hpc.itc.rwth-aachen.de",48,"48",64,4194304,10,50,0.422,1.12911,1.20075,1.5365,9.08495,9.03197
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",49,"n23m0123.hpc.itc.rwth-aachen.de",49,"49",64,4194304,10,50,0.6315,1.25092,1.28025,1.8945,9.77323,9.78391
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",50,"n23m0123.hpc.itc.rwth-aachen.de",50,"50",64,4194304,10,50,0.4625,1.30104,1.30675,3.894,9.41303,9.39981
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",51,"n23m0123.hpc.itc.rwth-aachen.de",51,"51",64,4194304,10,50,0.45,1.28758,1.2545,5.7765,9.79437,9.785
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",52,"n23m0123.hpc.itc.rwth-aachen.de",52,"52",64,4194304,10,50,0.4825,1.20409,1.2785,1.76,9.82399,9.81486
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",53,"n23m0123.hpc.itc.rwth-aachen.de",53,"53",64,4194304,10,50,0.486,1.17471,1.174,1.7255,9.4341,9.43285
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",54,"n23m0123.hpc.itc.rwth-aachen.de",54,"54",64,4194304,10,50,0.461,1.16265,1.06725,4.4315,8.79844,8.79334
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",55,"n23m0123.hpc.itc.rwth-aachen.de",55,"55",64,4194304,10,50,0.535,1.31313,1.32375,3.303,9.77578,9.7904
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",56,"n23m0123.hpc.itc.rwth-aachen.de",56,"56",64,4194304,10,50,0.439,1.18759,1.26425,1.632,9.44743,9.44698
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",57,"n23m0123.hpc.itc.rwth-aachen.de",57,"57",64,4194304,10,50,0.441,1.32377,1.3035,5.757,8.79886,8.78868
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",58,"n23m0123.hpc.itc.rwth-aachen.de",58,"58",64,4194304,10,50,0.474,1.28014,1.26075,5.4115,9.83283,9.84131
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",59,"n23m0123.hpc.itc.rwth-aachen.de",59,"59",64,4194304,10,50,0.7765,1.23176,1.287,1.8085,9.48316,9.46986
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",60,"n23m0123.hpc.itc.rwth-aachen.de",60,"60",64,4194304,10,50,0.4575,1.2388,1.2985,2.578,8.85324,8.85376
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",61,"n23m0123.hpc.itc.rwth-aachen.de",61,"61",64,4194304,10,50,0.5535,1.22287,1.22575,3.813,9.92926,9.92343
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",62,"n23m0123.hpc.itc.rwth-aachen.de",62,"62",64,4194304,10,50,0.4755,1.16784,1.234,1.8035,9.55509,9.45459
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",63,"n23m0123.hpc.itc.rwth-aachen.de",63,"63",64,4194304,10,50,0.4905,1.23865,1.30175,1.837,8.87824,8.87344
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",64,"n23m0123.hpc.itc.rwth-aachen.de",64,"64",64,4194304,10,50,0.5045,1.21648,1.304,1.804,9.89561,9.88555
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",65,"n23m0123.hpc.itc.rwth-aachen.de",65,"65",64,4194304,10,50,0.5305,1.15832,1.17525,1.7505,9.5717,9.57016
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",66,"n23m0123.hpc.itc.rwth-aachen.de",66,"66",64,4194304,10,50,0.5135,1.19651,1.28875,1.6335,9.86303,9.78653
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",67,"n23m0123.hpc.itc.rwth-aachen.de",67,"67",64,4194304,10,50,0.4475,1.18272,1.28525,1.596,9.89314,9.89185
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",68,"n23m0123.hpc.itc.rwth-aachen.de",68,"68",64,4194304,10,50,0.4895,1.36378,1.33225,4.793,9.40532,9.19462
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",69,"n23m0123.hpc.itc.rwth-aachen.de",69,"69",64,4194304,10,50,0.474,1.26606,1.27525,2.1225,8.42053,8.40738
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",70,"n23m0123.hpc.itc.rwth-aachen.de",70,"70",64,4194304,10,50,0.843,1.31932,1.34025,1.862,9.02801,9.01971
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",71,"n23m0123.hpc.itc.rwth-aachen.de",71,"71",64,4194304,10,50,0.7045,1.41404,1.4445,2.0185,7.49228,7.45143
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",72,"n23m0123.hpc.itc.rwth-aachen.de",72,"72",64,4194304,10,50,0.6665,1.61582,1.5405,2.5555,6.94849,6.93603
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",73,"n23m0123.hpc.itc.rwth-aachen.de",73,"73",64,4194304,10,50,0.8255,1.6855,1.579,2.371,6.94039,6.92014
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",74,"n23m0123.hpc.itc.rwth-aachen.de",74,"74",64,4194304,10,50,0.6575,1.65668,1.7615,2.551,6.04038,6.0358
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",75,"n23m0123.hpc.itc.rwth-aachen.de",75,"75",64,4194304,10,50,0.656,1.79595,1.77575,6.1165,5.87781,6.03809
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",76,"n23m0123.hpc.itc.rwth-aachen.de",76,"76",64,4194304,10,50,0.7525,1.65026,1.4995,6.862,6.47606,6.52904
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",77,"n23m0123.hpc.itc.rwth-aachen.de",77,"77",64,4194304,10,50,0.693,1.73648,1.73275,2.4565,6.42818,6.41794
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",78,"n23m0123.hpc.itc.rwth-aachen.de",78,"78",64,4194304,10,50,0.7095,1.72687,1.73925,2.817,6.45739,6.45277
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",79,"n23m0123.hpc.itc.rwth-aachen.de",79,"79",64,4194304,10,50,0.611,1.7999,1.83625,3.7865,6.5889,6.59669
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",80,"n23m0123.hpc.itc.rwth-aachen.de",80,"80",64,4194304,10,50,0.696,1.7684,1.42725,8.6495,6.74154,6.66089
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",81,"n23m0123.hpc.itc.rwth-aachen.de",81,"81",64,4194304,10,50,0.6045,1.41333,1.3475,2.525,7.27111,7.23412
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",82,"n23m0123.hpc.itc.rwth-aachen.de",82,"82",64,4194304,10,50,0.691,1.82326,1.81375,2.9735,6.03087,6.01842
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",83,"n23m0123.hpc.itc.rwth-aachen.de",83,"83",64,4194304,10,50,0.6825,1.68076,1.67375,2.3515,6.43621,6.33627
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",84,"n23m0123.hpc.itc.rwth-aachen.de",84,"84",64,4194304,10,50,0.6075,1.64251,1.564,4.934,6.44622,6.49007
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",85,"n23m0123.hpc.itc.rwth-aachen.de",85,"85",64,4194304,10,50,0.7185,1.80205,1.62575,6.6975,6.75654,6.69887
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",86,"n23m0123.hpc.itc.rwth-aachen.de",86,"86",64,4194304,10,50,0.6075,1.55509,1.4815,5.2255,6.06357,6.05057
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",87,"n23m0123.hpc.itc.rwth-aachen.de",87,"87",64,4194304,10,50,0.751,1.745,1.6115,5.4135,6.71637,6.60023
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",88,"n23m0123.hpc.itc.rwth-aachen.de",88,"88",64,4194304,10,50,0.6545,1.47274,1.454,2.411,7.11518,7.15439
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",89,"n23m0123.hpc.itc.rwth-aachen.de",89,"89",64,4194304,10,50,0.6705,1.69505,1.58775,3.975,6.40076,6.31262
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",90,"n23m0123.hpc.itc.rwth-aachen.de",90,"90",64,4194304,10,50,0.5775,1.71544,1.75275,5.09,7.02621,6.95035
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",91,"n23m0123.hpc.itc.rwth-aachen.de",91,"91",64,4194304,10,50,0.6435,1.69432,1.55825,3.311,5.86443,5.90728
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",92,"n23m0123.hpc.itc.rwth-aachen.de",92,"92",64,4194304,10,50,0.6615,1.76937,1.76725,2.634,6.4065,6.39064
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",93,"n23m0123.hpc.itc.rwth-aachen.de",93,"93",64,4194304,10,50,0.6475,1.76021,1.77,3.316,6.37529,6.3707
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",94,"n23m0123.hpc.itc.rwth-aachen.de",94,"94",64,4194304,10,50,0.6395,1.76782,1.75925,2.818,5.52137,5.5134
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",95,"n23m0123.hpc.itc.rwth-aachen.de",95,"95",64,4194304,10,50,0.7015,1.85,1.804,2.892,6.17094,6.12374
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",64,4194304,10,50,7.282,7.6374,7.61375,8.389,5.8097,5.82113
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",97,"r23m0124.hpc.itc.rwth-aachen.de",1,"1",64,4194304,10,50,7.4025,7.89292,7.81775,10.214,5.43047,5.44766
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",98,"r23m0124.hpc.itc.rwth-aachen.de",2,"2",64,4194304,10,50,7.8545,8.35496,8.35925,8.999,5.38402,5.39211
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",99,"r23m0124.hpc.itc.rwth-aachen.de",3,"3",64,4194304,10,50,7.6725,8.17561,8.13625,8.833,5.53812,5.5324
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",100,"r23m0124.hpc.itc.rwth-aachen.de",4,"4",64,4194304,10,50,7.6065,8.20576,8.04475,15.3495,5.86118,5.85447
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",101,"r23m0124.hpc.itc.rwth-aachen.de",5,"5",64,4194304,10,50,7.2655,7.72615,7.69625,8.5875,5.88057,5.88326
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",102,"r23m0124.hpc.itc.rwth-aachen.de",6,"6",64,4194304,10,50,7.2135,7.67558,7.55675,13.3025,5.69109,5.69494
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",103,"r23m0124.hpc.itc.rwth-aachen.de",7,"7",64,4194304,10,50,7.4735,8.27797,8.22425,11.417,5.26889,5.19833
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",104,"r23m0124.hpc.itc.rwth-aachen.de",8,"8",64,4194304,10,50,8.3675,8.71932,8.695,9.4105,5.3752,5.37474
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",105,"r23m0124.hpc.itc.rwth-aachen.de",9,"9",64,4194304,10,50,7.722,8.16209,8.1025,9.1285,5.33887,5.35002
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",106,"r23m0124.hpc.itc.rwth-aachen.de",10,"10",64,4194304,10,50,7.7145,8.26751,8.16,11.006,5.34198,5.26644
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",107,"r23m0124.hpc.itc.rwth-aachen.de",11,"11",64,4194304,10,50,7.647,8.30271,8.283,11.644,5.81898,5.72745
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",108,"r23m0124.hpc.itc.rwth-aachen.de",12,"12",64,4194304,10,50,7.6805,8.07539,8.024,8.5375,5.80503,5.82832
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",109,"r23m0124.hpc.itc.rwth-aachen.de",13,"13",64,4194304,10,50,7.311,7.83839,7.81525,8.399,5.75268,5.60519
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",110,"r23m0124.hpc.itc.rwth-aachen.de",14,"14",64,4194304,10,50,7.649,8.0468,8.004,9.386,5.39462,5.44047
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",111,"r23m0124.hpc.itc.rwth-aachen.de",15,"15",64,4194304,10,50,7.81,8.22781,8.2005,8.9795,5.32839,5.31015
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",112,"r23m0124.hpc.itc.rwth-aachen.de",16,"16",64,4194304,10,50,8.0875,8.57404,8.53275,9.4285,5.25437,5.07164
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",113,"r23m0124.hpc.itc.rwth-aachen.de",17,"17",64,4194304,10,50,8.0655,8.40284,8.33325,10.3775,5.20512,5.21093
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",114,"r23m0124.hpc.itc.rwth-aachen.de",18,"18",64,4194304,10,50,8.1225,8.66449,8.6225,10.5995,5.56312,5.57282
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",115,"r23m0124.hpc.itc.rwth-aachen.de",19,"19",64,4194304,10,50,7.5995,8.13277,8.06525,11.5465,5.7466,5.74392
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",116,"r23m0124.hpc.itc.rwth-aachen.de",20,"20",64,4194304,10,50,7.5265,7.96402,7.952,8.3845,5.64777,5.65877
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",117,"r23m0124.hpc.itc.rwth-aachen.de",21,"21",64,4194304,10,50,7.401,8.0931,8.135,8.9915,5.29561,5.32217
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",118,"r23m0124.hpc.itc.rwth-aachen.de",22,"22",64,4194304,10,50,7.6645,8.21368,8.217,8.8135,5.26074,5.02335
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",119,"r23m0124.hpc.itc.rwth-aachen.de",23,"23",64,4194304,10,50,8.3115,39.7505,10.8078,288.928,5.24907,5.25588
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",120,"r23m0124.hpc.itc.rwth-aachen.de",24,"24",64,4194304,10,50,7.811,8.66055,8.38575,17.254,5.30951,5.31614
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",121,"r23m0124.hpc.itc.rwth-aachen.de",25,"25",64,4194304,10,50,7.834,8.25966,8.2085,10.0735,5.49565,5.47667
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",122,"r23m0124.hpc.itc.rwth-aachen.de",26,"26",64,4194304,10,50,7.5195,7.95966,7.95625,8.734,5.77446,5.80151
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",123,"r23m0124.hpc.itc.rwth-aachen.de",27,"27",64,4194304,10,50,7.3525,7.66217,7.64325,8.119,5.84203,5.73251
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",124,"r23m0124.hpc.itc.rwth-aachen.de",28,"28",64,4194304,10,50,7.5905,8.13925,8.022,10.746,5.46735,5.44847
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",125,"r23m0124.hpc.itc.rwth-aachen.de",29,"29",64,4194304,10,50,7.94,8.3487,8.27725,9.406,5.28195,5.27077
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",126,"r23m0124.hpc.itc.rwth-aachen.de",30,"30",64,4194304,10,50,7.951,8.42956,8.356,10.382,5.23756,5.1467
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",127,"r23m0124.hpc.itc.rwth-aachen.de",31,"31",64,4194304,10,50,8.016,8.54965,8.49825,12.334,5.25586,5.26267
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",128,"r23m0124.hpc.itc.rwth-aachen.de",32,"32",64,4194304,10,50,7.659,8.18917,8.1305,8.957,5.22561,5.23795
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",129,"r23m0124.hpc.itc.rwth-aachen.de",33,"33",64,4194304,10,50,7.9355,8.37715,8.307,12.046,5.58934,5.57623
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",130,"r23m0124.hpc.itc.rwth-aachen.de",34,"34",64,4194304,10,50,7.812,8.18456,8.16825,8.6375,5.84581,5.82456
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",131,"r23m0124.hpc.itc.rwth-aachen.de",35,"35",64,4194304,10,50,7.3205,7.68846,7.68675,8.156,5.73555,5.73075
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",132,"r23m0124.hpc.itc.rwth-aachen.de",36,"36",64,4194304,10,50,7.483,8.04773,8.05625,8.5175,5.30984,5.32604
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",133,"r23m0124.hpc.itc.rwth-aachen.de",37,"37",64,4194304,10,50,7.821,8.15802,8.11875,8.9565,5.3017,5.30202
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134,"r23m0124.hpc.itc.rwth-aachen.de",38,"38",64,4194304,10,50,7.655,8.04613,8.01325,8.769,5.27182,5.19577
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",135,"r23m0124.hpc.itc.rwth-aachen.de",39,"39",64,4194304,10,50,7.779,8.35619,8.2125,15.5985,5.24867,5.06105
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",136,"r23m0124.hpc.itc.rwth-aachen.de",40,"40",64,4194304,10,50,6.2765,40.7425,22.7865,236.271,5.40006,5.39514
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",137,"r23m0124.hpc.itc.rwth-aachen.de",41,"41",64,4194304,10,50,7.622,8.55297,8.34075,17.1605,5.67743,5.63888
